reference_id,year,venue,doi_or_url,research_strand,ifc_bim_input,robot_or_sim_output,physics_attributes,construction_semantics,multiscale_scene,scene_level_validation,runtime_task_validation,provenance_uncertainty,agent_repair,novelty_boundary_for_this_study
Moura2021,2021,ICARSC,10.1109/ICARSC52212.2021.9429779,BIM robot navigation,yes,localization and maps,no,navigation semantics,map levels,no,yes,no,no,"BIM-assisted localization and mapping already demonstrated"
IsaacGym2021,2021,arXiv,arXiv:2108.10470,GPU robot simulation,no,GPU physics environments,yes,generic robotics,parallel worlds,no,yes,no,no,"GPU-scale execution is infrastructure rather than the paper contribution"
Zhang2022,2022,Computers in Industry,10.1016/j.compind.2021.103570,BIM robotics lifecycle review,yes,conceptual lifecycle flow,partial,lifecycle semantics,multiple layers,no,runtime,partial,no,"BIMfAR already proposes active BIM-robot information flow"
Wong2022,2022,Automation in Construction,10.1016/j.autcon.2022.104194,BIM robot simulation,yes,wood-frame assembly simulation,partial,assembly sequence,no,no,yes,no,no,"Do not claim first BIM-generated robotic assembly simulation"
KimPeavy2022,2022,Automation in Construction,10.1016/j.autcon.2022.104247,semantic robot world,yes,semantic world and task execution,partial,robot-relevant relations,no,no,yes,no,no,"Semantic building world modelling already established"
Gao2022,2022,Automation in Construction,10.1016/j.autcon.2022.104370,BIM task and motion planning,yes,lightweight assembly simulation,partial,assembly tasks,no,no,yes,no,no,"Do not claim first BIM-based task and motion planning"
Xiao2022,2022,Automation in Construction,10.1016/j.autcon.2022.104591,construction robotics review,partial,review,review,review,no,no,no,no,no,"BIM-robot integration is an established research direction"
Zhu2023,2023,Automation in Construction,10.1016/j.autcon.2023.104899,IFC robot simulation,yes,IFC-to-SDF and ROS/Gazebo,partial,smart components and assembly plan,no,no,yes,no,no,"Do not claim first IFC-to-robot-simulation conversion"
Chen2023,2023,Advanced Engineering Informatics,10.1016/j.aei.2022.101838,BIM robot inspection,yes,knowledge-driven inspection,no,facility semantics,no,no,yes,no,no,"BIM-derived inspection targets and simulation are established"
Gopee2023,2023,Construction Robotics,10.1007/s41693-023-00112-8,IFC robot navigation,yes,maps Gazebo worlds and waypoints,partial,schedule-aware obstacles,map and 3D world,no,yes,no,no,"IFC-derived schedule-aware robot worlds already exist"
Anane2023,2023,Digital Manufacturing Technology,10.37256/dmt.3120231856,BIM robotic interoperability review,yes,review,review,manufacturing semantics,no,no,no,no,no,"Interoperability gaps are well documented"
You2023,2023,Buildings,10.3390/buildings13071772,LLM construction planning,no,robot assembly sequence,no,construction assembly sequence,no,no,yes,no,LLM replanning,"LLM-supported construction assembly planning already demonstrated"
SayCan2023,2023,Conference on Robot Learning,https://proceedings.mlr.press/v205/ahn23a.html,grounded language planning,no,robot skills,no,generic tasks,no,affordance gate,yes,no,LLM proposal,"Grounding model outputs in robot affordances is established"
InnerMonologue2023,2023,Conference on Robot Learning,https://proceedings.mlr.press/v205/huang23c.html,feedback-grounded planning,no,robot skills,no,generic tasks,no,environment feedback,yes,no,iterative LLM,"Closed-loop language-plan revision is established"
CodeAsPolicies2023,2023,ICRA,10.1109/ICRA48891.2023.10160591,programmatic robot planning,no,executable policies,no,generic tasks,no,execution constraints,yes,no,LLM code,"Executable code generation is not itself the contribution"
ProgPrompt2023,2023,ICRA,10.1109/ICRA48891.2023.10161317,programmatic robot planning,no,situated task plans,no,generic tasks,no,action specification,yes,no,LLM plan,"Situated program structure already constrains robot plans"
PaLME2023,2023,ICML,https://proceedings.mlr.press/v202/driess23a.html,embodied multimodal model,no,robot perception and action,no,generic tasks,no,no,yes,no,foundation model,"Embodied multimodal modelling is broader than scene readiness"
RT2_2023,2023,arXiv,arXiv:2307.15818,vision-language-action,no,robot control,no,generic tasks,no,no,yes,no,VLA policy,"The paper does not claim a new VLA model"
SMARTLLM2023,2023,arXiv,arXiv:2309.10062,multi-robot LLM planning,no,multi-robot plans,no,generic tasks,no,programmatic stages,yes,no,LLM allocation,"Task decomposition and allocation are not new here"
Frasheri2023,2023,MMAR,10.1109/MMAR58394.2023.10242467,robot assurance,no,digital twin and hardware,yes,generic robotics,no,fault-oriented,yes,partial,no,"Fault injection is adapted to construction scene contracts"
Zhu2024,2024,Automation in Construction,10.1016/j.autcon.2024.105426,BIM-ROS action integration,yes,RCAN-to-ROS,partial,action-level linked data,no,no,yes,no,no,"Do not claim first BIM-to-ROS action linkage"
Xu2024,2024,Automation in Construction,10.1016/j.autcon.2024.105880,CAD-to-USD physics,CAD,articulated USD and Isaac Sim,yes,equipment hierarchy and joints,no,asset only,yes,partial,LLM extraction,"Do not claim first automated CAD-to-USD physics modelling or LLM enrichment"
Wang2024,2024,Computers in Industry,10.1016/j.compind.2024.104112,closed-loop construction twin,yes,drywall digital twin,partial,workflow updates,no,runtime and human,yes,no,human-guided repair,"Closed-loop BIM-driven construction workflow already demonstrated"
Bahreini2024,2024,Buildings,10.3390/buildings14082274,BIM robot ontology,yes,navigation and inspection ontology,no,task vocabulary,no,no,yes,no,no,"Task ontology is complementary to scene validity"
Zhao2024,2024,RCAR,10.1109/RCAR61438.2024.10670745,BIM progress monitoring,yes,indoor monitoring robot,no,progress semantics,no,no,yes,no,no,"Progress monitoring is not the target task"
HumanoidBench2024,2024,Robotics Science and Systems,10.15607/RSS.2024.XX.061,humanoid benchmark,no,whole-body tasks,yes,generic embodied tasks,no,runtime benchmark,yes,no,no,"Humanoid control is an evaluation consumer not the proposed method"
Oyediran2025,2025,ITcon,10.36680/j.itcon.2025.015,4D BIM robot simulation,yes,4D BIM-to-robot world,partial,knowledge base and action tasks,no,no,yes,no,no,"Do not claim first 4D BIM-to-action simulation"
Xu2025,2025,Automation in Construction,10.1016/j.autcon.2024.105935,BIM-FEM-ROS,yes,analysis-gated robot planning,structural stability,temporary assembly state,no,analysis gate,yes,partial,no,"Engineering analysis can already gate robotic construction planning"
Zhu2025,2025,Automation in Construction,10.1016/j.autcon.2025.106270,BIM semantic perception,yes,semantic-web-enhanced perception,no,component relations,no,no,yes,no,no,"BIM-enhanced robot perception already established"
Amani2025,2025,Construction Robotics,10.1007/s41693-025-00161-1,BIM LLM path planning,yes,safety-aware navigation,no,semantic obstacles,map,no,yes,partial,LLM interpretation,"Do not claim first LLM-assisted BIM robot path planning"
Yue2025,2025,Computers in Industry,10.1016/j.compind.2025.104299,BIM robotics review,yes,review,review,task and lifecycle layers,framework layers,no,no,no,no,"The interaction taxonomy informs but does not validate executable scenes"
Odugu2025,2025,Journal of Intelligent Construction,10.26599/JIC.2025.9180103,BIM robotics review,yes,review,review,applications,no,no,no,no,no,"Recent systematic evidence confirms interoperability remains fragmented"
Lin2025,2025,IJCAI,10.24963/ijcai.2025/509,formal LLM robot planning,no,answer-set plan,no,generic tasks,no,formal planner,yes,no,LLM proposal,"Formal acceptance of LLM proposals is an established assurance pattern"
Tuomisto2026,2026,Automation in Construction,10.1016/j.autcon.2025.106571,BIM robot inspection,yes,BIM-initialized mapping and navigation,no,as-designed and as-built,map levels,runtime,yes,partial,VLM analysis,"Robot-ready adaptive site mapping differs from pre-runtime scene validation"
Akhavian2026,2026,Automation in Construction,10.1016/j.autcon.2026.107134,robot-ready digital twin,yes,navigation twin,partial,safety context,no,runtime,yes,partial,LLM orchestration,"Do not claim first agentic BIM-to-robot-ready digital twin"
XuReview2026,2026,Results in Engineering,10.1016/j.rineng.2026.110406,construction robotics review,partial,review,review,HRC and applications,no,no,no,no,no,"Current deployment remains operator-led and task-specific"
Afaq2026,2026,Automation in Construction,10.1016/j.autcon.2026.107107,steel robotics review,yes,review,review,steel prefab workflow,no,no,no,no,no,"Steel prefabrication gaps support but do not establish the proposed method"
NVIDIASimReady2026,2026,NVIDIA documentation,https://docs.omniverse.nvidia.com/simready/latest/simready-faq.html,asset readiness,no,OpenUSD and SimReady,yes,generic asset semantics,no,asset only,runtime profiles,no,no,"Scene-level specification and validation remain outside generic asset profiles"
Ren2025,2025,Buildings,10.3390/buildings15244503,specification-driven IFC-to-USD,yes,OpenUSD lifecycle scene,partial,delivery-requirement semantics,scene composition,no,no,partial,no,"Do not claim first specification-driven IFC-to-USD pipeline scene contract or semantic preservation"
Ye2026,2026,ISARC,10.22260/ISARC2026/0057,construction humanoid digital twin,yes,MuJoCo and Unitree G1,partial,construction task decomposition,geometric BIM scene,no,runtime,no,no,"Do not claim first BIM-to-humanoid construction simulation or first Unitree G1 construction scenario"
EmbodiedGenV2_2026,2026,arXiv,arXiv:2607.07459,agentic sim-ready world generation,no,cross-simulator task worlds,yes,interaction affordances,multi-room and cross-simulator,partial,runtime,partial,agentic generation,"General simulation-ready task-world generation is established; retain IFC-authoritative construction contract and deterministic fault benchmark as differentiators"
AgenticReal2Sim2026,2026,arXiv,arXiv:2607.19190,agentic real-to-sim,no,runnable episodic twin,yes,object states and trajectories,scene reconstruction,partial,runtime,physical parameter inference,agentic orchestration,"Do not claim first agentic generation of runnable physical scenes or first agentic physical-parameter inference"
SimRecon2026,2026,arXiv,arXiv:2603.02133,compositional sim-ready reconstruction,no,simulator scene,yes,scene graph and object relations,compositional scene,partial,runtime,no,no,"Scene-level generation and physical plausibility are established outside AEC; the contribution must be construction-task requirements and auditable validation"
ConstructionSceneReady,planned,Automation in Construction target,internal,scene readiness,yes,multi-layer OpenUSD and humanoid task,yes,interfaces states and success criteria,yes,deterministic scene contract,planned,yes,validator-grounded repair,"Claim only the combined scene contract compilation fault benchmark and task-outcome link"
